Nombre,Ubicacion,Salario,Modalidad,Idioma,Experiencia,Conocimientos,Url,Descripcion
Trabajo Desde Casa Desarrollador de WordPress,"Guayaquil, Guayas",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: Tecnologia de la informacion, Lean, Agile, WordPress",None,None
Work From Home Wordpress Developer,"Guayaquil, Guayas",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: Tecnologia de la informacion, Lean, Agile, WordPress",None,None
Trabajo Desde Casa Desarrollador Ruby on Rails,"Guayaquil, Guayas",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: CSS, JavaScript, Tecnologia de la informacion, Testeo, Ruby on Rails, AngularJS, Lean, Agile, HTML 5",None,None
Trabajo Desde Casa Desarrollador Senior iOS,"Machala, El Oro",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: Tecnologia de la informacion, SWIFT, Objective-C, Lean, Agile",None,None
Work From Home Data Analytics Developer,"Machala, El Oro",None,Remoto,Idiomas: Ingles,3 anos de experiencia,"Conocimientos: SQL Server, Python, R, Tecnologia de la informacion, Impala, Apache Hive, Hadoop, Spark, Machine Learning, Lean, Agile",None,None
Trabajo Desde Casa Desarrollador Android,"Machala, El Oro",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: Tecnologia de la informacion, Lean, Agile",None,None
Trabajo Desde Casa Desarrollador ASP.NET / Investigacion y Desarrollo,"Portoviejo, Manabi",None,Remoto,Idiomas: Ingles,4 anos de experiencia,"Conocimientos: SQL Server, C#, CSS, Dot Net, HTML, JavaScript, Tecnologia de la informacion, Lean, Agile",None,None
Trabajo Desde Casa Desarrollador Java Junior,"Guayaquil, Guayas",None,Remoto,Idiomas: Ingles,2 anos de experiencia,"Conocimientos: SQL Server, C#, CSS, Dot Net, HTML, JavaScript, Tecnologia de la informacion, Lean, Agile",None,None
Trabajo Desde Casa Desarrollador Junior/MidLevel .NET / I + D,"Guayaquil, Guayas",None,Remoto,Idiomas: Ingles,2 anos de experiencia,"Conocimientos: SQL Server, C#, CSS, Dot Net, HTML, JavaScript, Tecnologia de la informacion, Lean, Agile",None,None
Work From Home React Developer,"Cuenca, Azuay",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: CSS, JavaScript, Tecnologia de la informacion, Backbone.js, AngularJS, Lean, Agile, HTML 5",None,None
Trabajo Desde Casa Node Developer,"Cuenca, Azuay",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: Tecnologia de la informacion, Node.js, Lean, Agile",None,None
Trabajo Desde Casa Desarrollador Node Backend,"Cuenca, Azuay",None,Remoto,Idiomas: Ingles,4 anos de experiencia,"Conocimientos: Tecnologia de la informacion, Node.js, Lean, Agile",None,None
Work From Home Wordpress Developer,"Eloy Alfaro, Esmeraldas",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: Tecnologia de la informacion, Lean, Agile, WordPress",None,None
Desarrollador Web,"Quito, Pichincha",None,"460,00 US$ (Mensual)
                
                    
                    Presencial y remoto",Idiomas: Ingles,3 anos de experiencia,Edad: entre 20 y 35 anos,None,None
Work From Home Junior Python Backend Developer / Research + Development,"Guayaquil, Guayas",None,Remoto,Idiomas: Ingles,1 ano de experiencia,"Conocimientos: Oracle, SQL Server, Python, Tecnologia de la informacion, Django, Node.js, Lean, MySql",None,None
Vendedor de Productos,"Quito, Pichincha",None,,Idiomas: Ingles,1 ano de experiencia,Edad: entre 27 y 38 anos,None,None
Desarrollador web,"Cuenca, Azuay",None,,Idiomas: Ingles,2 anos de experiencia,Edad: entre 23 y 40 anos,None,None
Desarrollador,"Guayaquil, Guayas",None,Presencial y remoto,"Idiomas: Espanol ,Ingles",2 anos de experiencia,Edad: entre 25 y 57 anos,None,None
Coordinador IT / Programador,"Quito,Pichincha",None,Presencial y remoto,Idiomas: Ingles,3 anos de experiencia,"Conocimientos: Oracle, ERP, SAP, Gestion de proyectos, Planificacion de proyectos, Administracion de sistemas, Microsoft Office",None,None
Trabajo Desde Casa Analista de Negocios,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,2 anos de experiencia,"Conocimientos: Gestion de ventas, Negociacion, Tecnologia de la informacion, Ventas, Lean, Agile",None,None
Trabajo Desde Casa Analista de Negocios con Agile,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,2 anos de experiencia,"Conocimientos: Gestion de ventas, Negociacion, Tecnologia de la informacion, Ventas, Lean, Agile",None,None
Trabajo Desde Casa Probador de Software (QA) / Investigacion y Desarrollo,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,4 anos de experiencia,"Conocimientos: Linux, UNIX, Tecnologia de la informacion, Testeo, Lean, Agile, Test-driven development (TDD)",None,None
Trabajo Desde Casa Analista de QA Senior / Investigacion y Desarrollo,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: Linux, UNIX, Tecnologia de la informacion, Testeo, Lean, Agile, Test-driven development (TDD)",None,None
Trabajo Desde Casa Ingeniero .NET + Angular / Investigacion y Desarrollo,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,4 anos de experiencia,"Conocimientos: SQL Server, CSS, HTML, JavaScript, Tecnologia de la informacion, Lean, Agile",None,None
Trabajo Desde Casa TypeScript Tech Lead,"Guayaquil, Guayas",None,Remoto,Idiomas: Ingles,7 anos de experiencia,"Conocimientos: CSS, HTML, JavaScript, jQuery, Tecnologia de la informacion, Lean, Agile",None,None
Trabajo Desde Casa Ingeniero Java,"Guayaquil, Guayas",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: Linux, Python, Tecnologia de la informacion, Perl, Sass, Lean, Agile",None,None
Trabajo Desde Casa Scrum Master,"Guayaquil, Guayas",None,Remoto,Idiomas: Ingles,3 anos de experiencia,"Conocimientos: Tecnologia de la informacion, Lean, Kanban, Agile, Scrum",None,None
Trabajo Desde Casa Agile Coach,"Guayaquil, Guayas",None,Remoto,Idiomas: Ingles,4 anos de experiencia,"Conocimientos: Tecnologia de la informacion, Lean, Kanban, Agile, Scrum",None,None
Trabajo Desde Casa Analista de Gestion Empresarial,"Machala, El Oro",None,Remoto,Idiomas: Ingles,3 anos de experiencia,"Conocimientos: Gestion de ventas, Tecnologia de la informacion, Ventas, Lean, Agile",None,None
Trabajo Desde Casa React Tech Lead,"Cuenca, Azuay",None,Remoto,Idiomas: Ingles,7 anos de experiencia,"Conocimientos: CSS, JavaScript, Tecnologia de la informacion, Backbone.js, AngularJS, Lean, Agile, HTML 5",None,None
Trabajo Desde Casa Tester de Software (QA) / I + D,"Cuenca, Azuay",None,Remoto,Idiomas: Ingles,4 anos de experiencia,"Conocimientos: Linux, UNIX, Tecnologia de la informacion, Testeo, Lean, Agile, Test-driven development (TDD)",None,None
Trabajo Desde Casa Ingeniero de Datos,"Eloy Alfaro, Esmeraldas",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: Tecnologia de la informacion, Lean, Agile",None,None
Trabajo Desde Casa Analista de Negocios,"Guayaquil, Guayas",None,Remoto,Idiomas: Ingles,2 anos de experiencia,"Conocimientos: Gestion de ventas, Negociacion, Tecnologia de la informacion, Ventas, Lean, Agile",None,None
Trabajo Desde Casa Ingeniero Java,"Cuenca, Azuay",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: Tecnologia de la informacion, Lean, Agile",None,None
Trabajo Desde Casa Analista de Negocios,"Machala, El Oro",None,Remoto,Idiomas: Ingles,2 anos de experiencia,"Conocimientos: Gestion de ventas, Negociacion, Tecnologia de la informacion, Ventas, Lean, Agile",None,None
Lider Tecnico de Proyectos Tecnologicos,"Guayaquil, Guayas",None,Presencial y remoto,"Idiomas: Espanol ,Ingles",3 anos de experiencia,Edad: entre 29 y 49 anos,None,None
Trabajo Desde Casa Analista de Negocios,"Cuenca, Azuay",None,Remoto,Idiomas: Ingles,2 anos de experiencia,"Conocimientos: Gestion de ventas, Negociacion, Tecnologia de la informacion, Ventas, Lean, Agile",None,None
Coordinador/a,"Quito, Pichincha",None,"700,00 US$ (Mensual)",Edad: entre 28 y 38 anos,2 anos de experiencia,"Conocimientos: Adaptacion al cambio, Organizacion, Servicio al cliente",None,None
Scrum master,"Manta, Manabi",None,Presencial y remoto,Idiomas: Ingles,3 anos de experiencia,Edad: entre 28 y 60 anos,None,None
Ingeniero Electronico Industrial o Afines,"Quito, Pichincha",None,,Idiomas: Ingles,2 anos de experiencia,Edad: entre 25 y 45 anos,None,None
Jefe de Marketing,"Quito, Pichincha",None,,Edad: entre 28 y 35 anos,5 anos de experiencia,Disponibilidad de viajar: Si,None,None
Senior Tech Lead .NET,"Quito, Pichincha",None,Presencial y remoto,Idiomas: Ingles,5 anos de experiencia,Edad: entre 28 y 50 anos,None,None
ingeniero electronico en control automatizacion,"Guayaquil, Guayas",None,"700,00 US$ (Mensual)",Idiomas: Ingles,3 anos de experiencia,Edad: entre 29 y 40 anos,None,None
Asesor/a comercial,"Quito, Pichincha",None,"470,00 US$ (Mensual)",Idiomas: Ingles,2 anos de experiencia,Edad: entre 25 y 45 anos,None,None
Asesor o Asesora de Ventas,"Quito, Pichincha",None,,Edad: entre 20 y 75 anos,1 ano de experiencia,"Conocimientos: Microsoft Excel, Microsoft Word, Servidores de E-mail, Gestion de ventas, Servicio al cliente, Soporte al cliente, Trabajo en equipo, Ventas, Compras",None,None
Trabajo Desde Casa Gerente de Personal de Desarrollo de Software,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,4 anos de experiencia,"Conocimientos: Desarrollo de producto, Gestion de coste, Gestion de equipos, Gestion del Tiempo, Recursos Humanos, Tecnologia de la informacion, Lean, Agile, Gestion de inventarios",None,None
Work From Home Software Development Engineer in Test,"Guayaquil, Guayas",None,Remoto,Idiomas: Ingles,2 anos de experiencia,"Conocimientos: Java, JavaScript, Python, Tecnologia de la informacion, Testeo, Lean, Agile, Test-driven development (TDD)",None,None
Asesor Comercial,"Quito, Pichincha",None,"470,00 US$ (Mensual)",Idiomas: Ingles,2 anos de experiencia,Edad: entre 25 y 35 anos,None,None
Ejecutivo de ventas en calle,"Quito, Pichincha",None,Presencial y remoto,Edad: entre 20 y 45 anos,1 ano de experiencia,"Conocimientos: Gestion de ventas, Servicio al cliente, Ventas",None,None
Asistente de Gerencia,"Ruminahui, Pichincha",None,,Idiomas: Ingles,1 ano de experiencia,Edad: entre 25 y 42 anos,None,None
Patronista,"Duran, Guayas",None,,Idiomas: Espanol,2 anos de experiencia,Edad: entre 25 y 40 anos,None,None
Disenador/a Web para sitios web,"Guayaquil, Guayas",None,Presencial y remoto,"Idiomas: Espanol ,Ingles",1 ano de experiencia,Edad: entre 22 y 30 anos,None,None
Tecnico Electronico,"Guayaquil, Guayas",None,,Idiomas: Espanol,1 ano de experiencia,Edad: entre 18 y 35 anos,None,None
Agente de Soporte Informatico,"Quito, Pichincha",None,"800,00 US$ (Mensual)",Edad: entre 28 y 45 anos,3 anos de experiencia,"Conocimientos: Linux, Windows, Servidores de E-mail, Servidores Web, Servicio al cliente",None,None
Trabajo Desde Casa Analista de Gestion Empresarial,"Machala, El Oro",None,Remoto,Idiomas: Ingles,3 anos de experiencia,"Conocimientos: Gestion de ventas, Tecnologia de la informacion, Ventas, Lean, Agile",None,None
Trabajo Desde Casa Analista de Datos de Talento,"Portoviejo, Manabi",None,Remoto,Idiomas: Ingles,3 anos de experiencia,"Conocimientos: SQL Server, Python, R, Tecnologia de la informacion, Impala, Apache Hive, Hadoop, Spark, Machine Learning, Lean, Agile",None,None
Trabajo Desde Casa Asistente de Soporte de Capacitacion de Talento,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,1 ano de experiencia,"Conocimientos: Recursos Humanos, Tecnologia de la informacion, Lean, Agile",None,None
Trabajo Desde Casa Analista de Formacion,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,2 anos de experiencia,"Conocimientos: Recursos Humanos, Tecnologia de la informacion, Lean, Agile",None,None
Trabajo Desde Casa Analista de Generacion de Contactos,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,2 anos de experiencia,"Conocimientos: Microsoft Excel, Tecnologia de la informacion, Lean, Agile, Administracion, Microsoft Office",None,None
Trabajo Desde Casa Analista de Negocios con Agile,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,2 anos de experiencia,"Conocimientos: Gestion de ventas, Negociacion, Tecnologia de la informacion, Ventas, Lean, Agile",None,None
Trabajo Desde Casa Analista de QA Senior / Investigacion y Desarrollo,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: Linux, UNIX, Tecnologia de la informacion, Testeo, Lean, Agile, Test-driven development (TDD)",None,None
Trabajo Desde Casa Analista de Gestion Empresarial,"Machala, El Oro",None,Remoto,Idiomas: Ingles,3 anos de experiencia,"Conocimientos: Gestion de ventas, Tecnologia de la informacion, Ventas, Lean, Agile",None,None
Analista Inventarios,"Quito, Pichincha",None,,Edad: entre 25 y 35 anos,4 anos de experiencia,Conocimientos: Microsoft Excel,None,None
Asesor de gestion comercial,"Quito, Pichincha",None,"460,00 US$ (Mensual)",Edad: entre 20 y 46 anos,Menos de 1 ano de experiencia,"Conocimientos: Microsoft Excel, Adaptacion al cambio, Comunicacion y persuasion, Gestion de ventas, Servicio al cliente, Call Center",None,None
Analista de marketing,"Quito, Pichincha",None,,Idiomas: Ingles,3 anos de experiencia,Edad: entre 25 y 30 anos,None,None
